player_id,name,games_started_2021,games_started_2022,games_started_2023,games_started_2024,games_started_2025
450203,Charlie Morton,33.0,31.0,30.0,30.0,27.0
542881,Tyler Anderson,31.0,28.0,25.0,31.0,26.0
543135,Nathan Eovaldi,32.0,20.0,25.0,29.0,22.0
543243,Sonny Gray,26.0,24.0,32.0,28.0,32.0
554430,Zack Wheeler,32.0,26.0,32.0,32.0,24.0
571578,Patrick Corbin,31.0,31.0,32.0,32.0,30.0
579328,Yusei Kikuchi,29.0,20.0,32.0,32.0,33.0
592332,Kevin Gausman,33.0,31.0,31.0,31.0,32.0
592791,Jameson Taillon,29.0,32.0,29.0,28.0,23.0
605135,Chris Bassitt,27.0,30.0,33.0,31.0,31.0
607536,Kyle Freeland,23.0,31.0,29.0,21.0,31.0
608379,Michael Wacha,23.0,23.0,24.0,29.0,31.0
621244,José Berríos,32.0,32.0,32.0,32.0,30.0
622491,Luis Castillo,33.0,25.0,33.0,30.0,32.0
656302,Dylan Cease,32.0,32.0,33.0,33.0,32.0
656605,Mitch Keller,23.0,29.0,32.0,31.0,32.0
657277,Logan Webb,26.0,32.0,33.0,33.0,34.0
663903,Brady Singer,27.0,24.0,29.0,32.0,32.0
664285,Framber Valdez,22.0,31.0,31.0,28.0,31.0
668678,Zac Gallen,23.0,31.0,34.0,28.0,33.0
669302,Logan Gilbert,24.0,32.0,32.0,33.0,25.0
